,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,NVDA,NVDA,NVDA,NVDA,NVDA,FB,FB,FB,FB,FB,MSFT,MSFT,MSFT,MSFT,MSFT,GOOG,GOOG,GOOG,GOOG,GOOG,TSLA,TSLA,TSLA,TSLA,TSLA
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,137.89999389648438,140.0,137.75,139.9600067138672,78852600,3451.639892578125,3511.719970703125,3436.919921875,3510.97998046875,3169400,204.40249633789062,205.05250549316406,202.87750244140625,204.8699951171875,34276400,355.1000061035156,356.44000244140625,352.6199951171875,354.70001220703125,11521300,272.82000732421875,278.0,272.5,277.6499938964844,26458000,2536.7900390625,2576.9599609375,2535.3798828125,2574.3798828125,1058000,678.97998046875,700.0,673.260009765625,678.9000244140625,27054500
2021-07-06,140.07000732421875,143.14999389648438,140.07000732421875,142.02000427246094,108181800,3530.110107421875,3685.47998046875,3529.0,3675.739990234375,6744800,207.375,208.4199981689453,203.50250244140625,206.98500061035156,44670800,356.5,358.7900085449219,349.17999267578125,352.7799987792969,13488500,278.0299987792969,279.3699951171875,274.29998779296875,277.6600036621094,31565600,2588.989990234375,2597.68994140625,2568.179931640625,2595.419921875,1067500,681.7100219726562,684.0,651.4000244140625,659.5800170898438,23284500
2021-07-07,143.5399932861328,144.88999938964844,142.66000366210938,144.57000732421875,104911600,3717.3798828125,3734.199951171875,3678.909912109375,3696.580078125,5328100,208.53500366210938,208.75,203.32000732421875,203.71749877929688,41842800,355.260009765625,356.489990234375,350.0,350.489990234375,14218900,279.3999938964844,280.69000244140625,277.1499938964844,279.92999267578125,23260000,2606.820068359375,2612.798095703125,2595.199951171875,2601.550048828125,834000,664.27001953125,665.7000122070312,638.3200073242188,644.6500244140625,18792000
2021-07-08,141.5800018310547,144.05999755859375,140.6699981689453,143.24000549316406,105575500,3643.56005859375,3759.989990234375,3621.1201171875,3731.409912109375,5180600,198.56500244140625,201.3300018310547,197.00750732421875,199.02749633789062,50330000,345.7300109863281,348.3299865722656,342.55999755859375,345.6499938964844,14406500,276.8999938964844,278.7300109863281,274.8699951171875,277.4200134277344,24618600,2565.0,2600.64990234375,2560.800048828125,2583.5400390625,989000,628.3699951171875,654.4299926757812,620.4600219726562,652.8099975585938,22773300
2021-07-09,142.75,145.64999389648438,142.64999389648438,145.11000061035156,99788400,3722.52001953125,3748.0,3693.39990234375,3719.340087890625,3745100,199.625,200.80250549316406,197.54249572753906,200.50250244140625,29662400,345.32000732421875,350.7099914550781,345.2699890136719,350.4200134277344,13010400,275.7200012207031,278.04998779296875,275.32000732421875,277.94000244140625,23905500,2578.889892578125,2596.989990234375,2578.8701171875,2591.489990234375,755300,653.1799926757812,658.9099731445312,644.6900024414062,656.9500122070312,18118500
2021-07-12,146.2100067138672,146.32000732421875,144.0,144.5,76299700,3744.0,3757.2900390625,3696.7900390625,3718.550048828125,2571600,202.39999389648438,205.32749938964844,201.87750244140625,205.125,32198400,351.2300109863281,354.19000244140625,349.6400146484375,353.1600036621094,10018600,279.1600036621094,279.7699890136719,276.5799865722656,277.32000732421875,18931700,2596.669921875,2615.39990234375,2592.0,2611.280029296875,847200,662.2000122070312,687.239990234375,662.1599731445312,685.7000122070312,25927000
2021-07-13,144.02999877929688,147.4600067138672,143.6300048828125,145.63999938964844,100827100,3702.10009765625,3773.080078125,3671.320068359375,3677.360107421875,3845900,204.0050048828125,204.6125030517578,201.13999938964844,202.5,29070800,351.5,358.489990234375,348.79998779296875,352.0899963378906,11456000,277.5199890136719,282.8500061035156,277.3900146484375,280.9800109863281,26120100,2617.6298828125,2640.840087890625,2612.739990234375,2619.889892578125,830900,686.3200073242188,693.280029296875,666.2999877929688,668.5399780273438,20966100
2021-07-14,148.10000610351562,149.57000732421875,147.67999267578125,149.14999389648438,127050800,3708.85009765625,3717.659912109375,3660.830078125,3681.679931640625,3296600,203.57749938964844,204.17750549316406,197.52749633789062,198.4149932861328,38010000,354.55999755859375,355.20001220703125,346.7300109863281,347.6300048828125,13894200,282.3500061035156,283.6600036621094,280.54998779296875,282.510009765625,23113700,2638.030029296875,2659.919921875,2637.9599609375,2641.64990234375,895600,670.75,678.6099853515625,652.8400268554688,653.3800048828125,21641200
2021-07-15,149.24000549316406,150.0,147.08999633789062,148.47999572753906,106820300,3694.199951171875,3695.39990234375,3620.919921875,3631.199951171875,3185300,198.11749267578125,198.47000122070312,188.5850067138672,189.66250610351562,55056400,349.2300109863281,349.2300109863281,340.2200012207031,344.4599914550781,14781600,282.0,282.510009765625,279.8299865722656,281.0299987792969,22604200,2650.0,2651.89990234375,2611.9599609375,2625.330078125,829300,658.3900146484375,666.1400146484375,637.8800048828125,650.5999755859375,20209600
2021-07-16,148.4600067138672,149.75999450683594,145.8800048828125,146.38999938964844,93100300,3633.31005859375,3646.06005859375,3570.4599609375,3573.6298828125,4038400,190.30499267578125,191.57000732421875,180.72999572753906,181.61000061035156,68822400,344.9100036621094,345.989990234375,340.1400146484375,341.1600036621094,11020300,282.07000732421875,284.1000061035156,279.4599914550781,280.75,26176100,2632.820068359375,2643.659912109375,2616.429931640625,2636.909912109375,742800,654.6799926757812,656.7000122070312,642.2000122070312,644.219970703125,16339800
2021-07-19,143.75,144.07000732421875,141.6699981689453,142.4499969482422,121434600,3532.580078125,3550.2099609375,3499.159912109375,3549.590087890625,3784600,179.15249633789062,190.4199981689453,178.65499877929688,187.79750061035156,74906000,337.57000732421875,339.7900085449219,334.5400085449219,336.95001220703125,14372300,278.92999267578125,280.3699951171875,274.45001220703125,277.010009765625,32935600,2623.110107421875,2624.93994140625,2570.739990234375,2585.080078125,1285500,629.8900146484375,647.2000122070312,621.2899780273438,646.219970703125,21297100
2021-07-20,143.4600067138672,147.10000610351562,142.9600067138672,146.14999389648438,96350000,3567.320068359375,3592.0,3518.0,3573.18994140625,3255700,187.3000030517578,188.3800048828125,181.63999938964844,186.1199951171875,43468700,338.79998779296875,343.45001220703125,334.5,341.6600036621094,11024300,278.0299987792969,280.9700012207031,276.260009765625,279.32000732421875,26259700,2600.080078125,2640.027099609375,2583.76806640625,2622.030029296875,954200,651.989990234375,662.3900146484375,640.5,660.5,15487100
2021-07-21,145.52999877929688,146.1300048828125,144.6300048828125,145.39999389648438,74993500,3576.3798828125,3586.449951171875,3543.639892578125,3585.199951171875,2319000,188.82000732421875,195.27000427246094,187.4199981689453,194.10000610351562,37101700,341.5,346.5199890136719,341.25,346.2300109863281,9279700,278.8999938964844,281.5199890136719,277.2900085449219,281.3999938964844,24364300,2615.739990234375,2652.344970703125,2612.030029296875,2652.010009765625,737100,659.6099853515625,664.8599853515625,650.2899780273438,655.2899780273438,13953300
2021-07-22,145.94000244140625,148.1999969482422,145.80999755859375,146.8000030517578,77338200,3587.22998046875,3640.02001953125,3582.27001953125,3638.030029296875,3265400,196.4199981689453,198.8699951171875,192.75999450683594,195.94000244140625,32382600,346.67999267578125,351.5400085449219,345.2099914550781,351.19000244140625,12385400,283.8399963378906,286.4200134277344,283.4200134277344,286.1400146484375,23384100,2653.0,2670.090087890625,2648.0,2666.570068359375,680400,656.4400024414062,662.1699829101562,644.5999755859375,649.260009765625,15105700
2021-07-23,147.5500030517578,148.72000122070312,146.9199981689453,148.55999755859375,71447400,3640.0,3666.110107421875,3622.0400390625,3656.639892578125,2436300,196.55999755859375,197.0,192.5,195.5800018310547,19567200,360.9100036621094,375.3299865722656,357.19000244140625,369.7900085449219,33694300,287.3699951171875,289.989990234375,286.5,289.6700134277344,22768100,2705.199951171875,2776.169921875,2694.010009765625,2756.320068359375,1318900,646.3599853515625,648.7999877929688,637.2999877929688,643.3800048828125,14604900
2021-07-26,148.27000427246094,149.8300018310547,147.6999969482422,148.99000549316406,72434100,3673.169921875,3712.080078125,3647.25,3699.820068359375,2900100,193.11000061035156,194.4199981689453,189.13999938964844,192.94000244140625,20394300,369.5799865722656,374.44000244140625,368.2200012207031,372.4599914550781,14925200,289.0,289.69000244140625,286.6400146484375,289.04998779296875,23176100,2765.0,2794.260009765625,2753.02001953125,2792.889892578125,1152600,650.969970703125,668.2000122070312,647.1099853515625,657.6199951171875,25336600
2021-07-27,149.1199951171875,149.2100067138672,145.5500030517578,146.77000427246094,104818600,3698.5,3698.5,3586.14990234375,3626.389892578125,4131900,192.64999389648438,196.22000122070312,187.41000366210938,192.0800018310547,24886300,371.9100036621094,373.1499938964844,364.54998779296875,367.80999755859375,15705400,289.42999267578125,289.5799865722656,282.95001220703125,286.5400085449219,33604100,2800.219970703125,2800.219970703125,2702.0,2735.929931640625,2108200,663.4000244140625,666.5,627.239990234375,644.780029296875,32813300
2021-07-28,144.80999755859375,146.97000122070312,142.5399932861328,144.97999572753906,118931200,3633.780029296875,3658.419921875,3601.0,3630.320068359375,2999400,193.19000244140625,196.4600067138672,189.9499969482422,195.02999877929688,20219100,374.55999755859375,377.54998779296875,366.92999267578125,373.2799987792969,29676900,288.989990234375,290.1499938964844,283.8299865722656,286.2200012207031,33566900,2771.239990234375,2793.52001953125,2727.0,2727.6298828125,2734400,647.0,654.969970703125,639.4000244140625,646.97998046875,16006600
2021-07-29,144.69000244140625,146.5500030517578,144.5800018310547,145.63999938964844,56699500,3627.75,3637.949951171875,3580.010009765625,3599.919921875,5520000,195.19000244140625,198.52999877929688,193.27999877929688,196.6199951171875,19078100,361.0,365.5199890136719,356.739990234375,358.32000732421875,33413200,286.239990234375,288.6199951171875,286.0799865722656,286.5,18168300,2727.612060546875,2743.030029296875,2722.760009765625,2730.81005859375,964200,649.7899780273438,683.6900024414062,648.7999877929688,677.3499755859375,30394600
